RouteDataID,CountryNum,StateNum,Route,Year,BCCH_Count
6174605,124,11,212,1974,26
6179811,124,11,212,1975,14
6185974,124,11,212,1979,48
6187510,124,11,212,1980,27
6196711,124,11,212,1984,16
6195596,124,11,212,1985,21
6198894,124,11,212,1986,18
6201114,124,11,212,1987,25
6201017,124,11,212,1988,12
6205290,124,11,212,1990,25
6297594,124,11,212,1991,31
6209607,124,11,212,1992,19
6297596,124,11,212,1994,19
6170355,124,11,212,2000,46
6260155,124,11,212,2007,24
6316686,124,11,212,2008,31
6316687,124,11,212,2009,24
6318256,124,11,212,2010,22
6353538,124,11,212,2013,25
6356433,124,11,212,2014,39
6359812,124,11,212,2015,34
6367816,124,11,212,2018,28
